place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Centro de Día Infantil del Distrito Tetuán 2 (en CEIP Felipe II),Instalación accesible municipal,AVENIDA ASTURIAS 70,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",570 meters,23
Centro de Día Infantil del Distrito Villaverde 1 (en CEIP Navas de Tolosa),Instalación accesible municipal,CALLE BENIMAMET 109 CEIP NAVAS DE TOLOSA,408 - Metro San Cristóbal,"Calle de Moncada, 102 ,",883 meters,23
Centro de Día Infantil del Distrito Villaverde 2 (en CEIP Cristóbal Colón),Instalación accesible municipal,CARRETERA CARABANCHEL A VILLAVERDE 109 CEIP CRISTÓBAL COLÓN,412 - Estación de tren de Puente de Alcocer,"Calle San Jenaro, 1,",204 meters,24
Centro de Día Municipal 'Acuario',Instalación accesible municipal,CALLE ACUARIO 27,567 - Plaza Mayor de Barajas,"Plaza Mayor de Barajas, 24,",313 meters,24
Centro de Día Municipal 'Almorox Cognitivo',Instalación accesible municipal,CALLE ALMOROX 6,306 - Centro Deportivo Mpal Fernando Martín,"Avenida Del Santo Ángel de la Guarda, 6 ,",307 meters,23
Centro de Día Municipal 'Almorox Físico',Instalación accesible municipal,CALLE ALMOROX 6,306 - Centro Deportivo Mpal Fernando Martín,"Avenida Del Santo Ángel de la Guarda, 6 ,",307 meters,23
Centro de Día Municipal 'Arganzuela',Instalación accesible municipal,CALLE CANARIAS 17,120 - Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",168 meters,27
Centro de Día Municipal 'Ascao',Instalación accesible municipal,CALLE ASCAO 4,215 - Gutierre de Cetina - Ascao,"Calle Gutierre de Cetina, 77 ,",196 meters,23
Centro de Día Municipal 'Aurora Villa Cognitivo',Instalación accesible municipal,CALLE MERCEDES ARTEAGA 18,"353 - Mercedes Arteaga, 21","Calle Mercedes Arteaga, 21,",192 meters,24
Centro de Día Municipal 'Aurora Villa Físico',Instalación accesible municipal,CALLE MERCEDES ARTEAGA 18,"353 - Mercedes Arteaga, 21","Calle Mercedes Arteaga, 21,",192 meters,24
Centro de Día Municipal 'Canal de Panamá',Instalación accesible municipal,CALLE CANAL DE PANAMA 8,231 - Derechos Humanos - Verdaguer y García,"Calle Derechos Humanos, 14 ,",513 meters,24
Centro de Día Municipal 'Carmen Conde',Instalación accesible municipal,CALLE AVE MARIA 6,41 - Metro Antón Martín,"Calle Atocha nº 56,",144 meters,19
Centro de Día Municipal 'Carmen Laforet',Instalación accesible municipal,CALLE DALIA 5,494 - Metro Pinar de Chamartín,"Arturo Soria, 332,",193 meters,23
Centro de Día Municipal 'Carmen Sevilla',Instalación accesible municipal,AVENIDA ENSANCHE DE VALLECAS 91,454 - Gran Vía del Sureste - Las Suertes,"Calle Gran Via del Sureste, 22,",494 meters,27
Centro de Día Municipal 'Casa de Campo',Instalación accesible municipal,CALLE PRINCIPAL DE PROVINCIAS 21,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",581 meters,24
Centro de Día Municipal 'Casino de la Reina',Instalación accesible municipal,CALLE CASINO 5,46 - Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",244 meters,27
Centro de Día Municipal 'Castillo de Uclés',Instalación accesible municipal,CALLE CASTILLO DE UCLES 35 PLANTA 1ª ESQUINA VIRGEN DE LA OLIVA,"505 - Castillo de Uclés, 37","Calle Castillo de Ucles, 37,",71 meters,24
Centro de Día Municipal 'Ciudad Pegaso Cognitivo',Instalación accesible municipal,AVENIDA QUINTA 5,507 - Seis - Sexta,"Calle Seis (esquina con Avenida Quinta),",151 meters,24
