place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Centro de acogida 'Juan Luis Vives',Instalación accesible municipal,CALLE ALCALDE JUAN DE MATA SEVILLANO 18,474 - Estación de tren de Vicálvaro,"Calle San Cipriano, 71 ,",1473 meters,27
Departamento de Protección a la Infancia y Adolescencia,Instalación accesible municipal,PASEO CHOPERA 41 PLANTA Baja,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Grupo Municipal Más Madrid,Instalación accesible municipal,CALLE MAYOR 71 PLANTA 1ª y 2ª,35 - Plaza del Cordón,"Plaza del Cordón nº1,",210 meters,24
Grupo Municipal Socialista de Madrid,Instalación accesible municipal,CALLE MAYOR 71 PLANTA 3ª y 4ª,35 - Plaza del Cordón,"Plaza del Cordón nº1,",210 meters,24
Grupo Municipal del Partido Popular,Instalación accesible municipal,PLAZA VILLA 5,9 - Plaza de San Miguel,"Plaza de San Miguel nº 10,",136 meters,24
Área de Gobierno de Políticas de Vivienda,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",192 meters,27
Agencia de Actividades,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",49 meters,23
Agencia de Zona de Arganzuela,Instalación accesible municipal,CALLE ANCORA 41,273 - Delicias - General Lacy,"Calle de las Delicias, 41 ,",191 meters,19
Agencia de Zona de Barajas,Instalación accesible municipal,AVENIDA CANTABRIA 6,"556 - Cantabria, 6","Avenida de Cantabria, 6,",10 meters,24
Agencia de Zona de Latina-Carabanchel,Instalación accesible municipal,CALLE ALHAMBRA 89,330 - Duquesa de Parcent - Marcelino Castillo,"Calle Duquesa de Parcent, 14 ,",225 meters,23
Agencia de Zona de Puente de Vallecas,Instalación accesible municipal,PLAZA SIERRA MINISTRA 3,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",360 meters,24
Agencia de Zona de Puente de Vallecas (Casa del Empleo),Instalación accesible municipal,PLAZA SIERRA MINISTRA 3,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",360 meters,24
Agencia de Zona de Retiro,Instalación accesible municipal,AVENIDA CIUDAD DE BARCELONA 164,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",190 meters,24
Agencia de Zona de Tetuán,Instalación accesible municipal,CALLE JUAN PANTOJA 2,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",352 meters,23
Agencia de Zona de Vicálvaro,Instalación accesible municipal,AVENIDA DAROCA 327,462 - Gallegos - Lavadero Viejo,"Calle Gallegos 27,",233 meters,27
Agencia de Zona de Villaverde,Instalación accesible municipal,AVENIDA OROVILLA 54,398 - Orovilla - Felicidad,"Avenida de Orovilla, 53,",43 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Arganzuela,Instalación accesible municipal,PASEO CHOPERA 2,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",298 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Barajas,Instalación accesible municipal,CALLE TRESPADERNE 16,"556 - Cantabria, 6","Avenida de Cantabria, 6,",794 meters,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Carabanchel,Instalación accesible municipal,AVENIDA CARABANCHEL ALTO 61,374 - Dinero - La Peseta,"Calle del Dinero, 38,",487 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Centro- Sur,Instalación accesible municipal,CALLE MONTERA 16,56 - Plaza del Carmen ,"Plaza del Carmen nº 1,",110 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamartín,Instalación accesible municipal,CALLE COMANDANTE AZCARRAGA 4,285 - Santa María Magdalena - La Drácena,"Calle Santa María Magdalena, 15 ,",339 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamberí,Instalación accesible municipal,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 8,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",100 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,Instalación accesible municipal,CALLE PELOPONESO 9,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",521 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,Instalación accesible municipal,AVENIDA SOTO PALACIOS 7,583 - Ángel Múgica - Marcos de Orueta,"Calle de Angel Mugica, 3,",508 meters,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Hortaleza,Instalación accesible municipal,CALLE JAVIER DEL QUINTO 2,546 - Andorra - Canillas,"Calle Andorra, 2 ,",598 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Latina,Instalación accesible municipal,CALLE RODRIGO DE ARANA 50,348 - José de Cadalso - Rafael Finat,"Calle José de cadalso, 62 ,",479 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Moratalaz,Instalación accesible municipal,CALLE FUENTE CARRANTONA 8,221 - Metro Pavones,"Calle Hacienda de Pavones, 148 ,",391 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Puente de Vallecas,Instalación accesible municipal,CALLE PUERTO DE CARDOSO 7,421 - Arroyo del Olivar - Buenos Aires,"Calle Arroyo del Olivar, 63,",127 meters,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Retiro,Instalación accesible municipal,CALLE HOYUELO 7,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",186 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Salamanca,Instalación accesible municipal,CALLE PEDRO HEREDIA 34,187 - Alejandro González - Alcalá,"Alcala-Ventas ,",163 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito San Blas-Canillejas,Instalación accesible municipal,CALLE ESTOCOLMO 91,520 - Niza - Plaza de Grecia,"Av/ de Niza, 67 ,",376 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Tetuán,Instalación accesible municipal,AVENIDA ASTURIAS 68,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",508 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Usera,Instalación accesible municipal,CALLE DOCTOR TOLOSA LATOUR 16,388 - Estación tren - Hospital 12 de Octubre,"Calle Doctor Tolosa Latour, 7 ,",661 meters,23
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Vicálvaro,Instalación accesible municipal,PASEO POLIDEPORTIVO 138,473 - Villablanca - Parque Forestal Vicálvaro,"Calle Villa Blanca, 85 ,",260 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Villa de Vallecas,Instalación accesible municipal,CALLE REAL DE ARGANDA 64,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",191 meters,27
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Villaverde,Instalación accesible municipal,CARRETERA CARABANCHEL A VILLAVERDE 105 C/V a la calle de la Laguna Rodrigo,412 - Estación de tren de Puente de Alcocer,"Calle San Jenaro, 1,",332 meters,24
Alcaldía,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 4,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Almacén de Villa,Instalación accesible municipal,CALLE AHUMAOS 27,475 - Aurora Boreal - Minerva," Avenida de la Aurora Boreal, 19,",976 meters,23
Aparcamiento disuasorio Aviación Española,Instalación accesible municipal,CALLE FUENTE DE LIMA 5,343 - Metro Aviación Española,"Calle Fuente de Lima, 10,",57 meters,23
Aparcamiento disuasorio Fuente de la Mora,Instalación accesible municipal,AVENIDA MANOTERAS 1,540 - Estación de tren Fuente de la Mora,"Calle Dulce Chacón, S/N ,",97 meters,24
Aparcamiento disuasorio Islazul,Instalación accesible municipal,CALLE CALDERILLA 1,"375 - Calderilla, 4","Calle Calderilla, 4,",83 meters,27
Aparcamiento disuasorio Pitis,Instalación accesible municipal,CALLE GLORIA FUERTES ,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",336 meters,27
Aparcamiento mixto. Corona Boreal,Instalación accesible municipal,CALLE PEREZ DE VICTORIA 2,315 - Caroli,"Calle de Caroli, 10,",61 meters,23
Aparcamiento mixto. Montalbán,Instalación accesible municipal,CALLE MONTALBAN 4 S PLANTA OT AN,86 - Cibeles,"Paseo del Prado, 1B ,",275 meters,24
Aparcamiento mixto. Velázquez - Jorge Juan,Instalación accesible municipal,CALLE VELAZQUEZ 1,90 - Metro Velázquez,"Calle Goya, 20 ,",137 meters,27
Aparcamiento para residentes. Antonio Mena,Instalación accesible municipal,AVENIDA DOCTOR GARCIA TAPIA 119,461 - Plaza Corregidor Ldo. Antonio de Mena,"Corregidor licenciado Antonio de Mena, sn,",168 meters,24
Aparcamiento para residentes. Azuaga,Instalación accesible municipal,CALLE SAN RESTITUTO 33,306 - Centro Deportivo Mpal Fernando Martín,"Avenida Del Santo Ángel de la Guarda, 6 ,",441 meters,23
Aparcamiento para residentes. Baviera,Instalación accesible municipal,AVENIDA AMERICA 58,251 - Santa Hortensia - Corazón de María,"Calle Santa Hortensia, 31 ,",435 meters,23
Aparcamiento para residentes. Doce de Octubre,Instalación accesible municipal,CALLE ALCALDE SAINZ DE BARANDA ,181 - Ibiza - Narváez,"Calle Ibiza nº 16,",55 meters,27
Aparcamiento para residentes. Francisco Rioja,Instalación accesible municipal,CALLE LUIS RUIZ 27,491 - Esteban Collantes - José Arcones Gil,"Calle Esteban Collantes 63,",312 meters,24
Aparcamiento para residentes. Francos Rodríguez,Instalación accesible municipal,CALLE NUMANCIA 63,239 - Francos Rodríguez - José Calvo,"Calle de Francos Rodríguez, 62 ,",247 meters,23
Aparcamiento para residentes. Menorca,Instalación accesible municipal,CALLE NARVAEZ ,61 - O'Donnell - Narváez,"Calle O'Donnell nº 30,",236 meters,27
Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),Instalación accesible municipal,CALLE CARTAGENA 178 PLANTA 0 01,"146 - María Francisca, 3","Calle de María Francisca, 3,",128 meters,19
Aparcamiento público. Descalzas,Instalación accesible municipal,PLAZA DESCALZAS 3,25B - Plaza de Celenque B,"Plaza de Celenque nº 1,",204 meters,24
Aparcamiento público. Glorieta Puerta de Toledo,Instalación accesible municipal,GLORIETA PUERTA DE TOLEDO ,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",143 meters,19
Aparcamiento público. Las Cortes,Instalación accesible municipal,PLAZA CORTES 13,29 - Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",115 meters,23
Aparcamiento público. Luna - Tudescos,Instalación accesible municipal,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA 2 PLANTA 0 02,2 - Metro Callao,"Calle Miguel Moya nº 1,",188 meters,27
Aparcamiento público. Mostenses,Instalación accesible municipal,CALLE GARCIA MOLINAS 4,16 - San Bernardo,"Calle San Bernardo nº 22,",154 meters,19
Aparcamiento público. Plaza de Colón,Instalación accesible municipal,CALLE GOYA 2,106A - Plaza de Colón A,"Calle Serrano nº 32,",105 meters,19
Aparcamiento público. San Epifanio,Instalación accesible municipal,CALLE SAN EPIFANIO 9,280 - Ps de los Melancólicos - San Epifanio,"Paseo de los Melancólicos, 73 ,",196 meters,23
Aparcamiento público. Santa Ana,Instalación accesible municipal,PLAZA SANTA ANA ,52 - Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",24 meters,15
Aparcamiento público. Velázquez - Juan Bravo,Instalación accesible municipal,CALLE VELAZQUEZ 88 T PLANTA OD 01,88 - Velázquez-Padilla,"Calle Velázquez, 13 ,",71 meters,23
Aparcamiento público. Villa de París,Instalación accesible municipal,PLAZA VILLA DE PARIS 1,10 - Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",49 meters,23
Apartamentos Municipales para Mayores 'Retiro',Instalación accesible municipal,CALLE JOSE MARTINEZ DE VELASCO 22,72 - Metro Sáinz de Baranda,"Calle Doctor Esquerdo nº 62,",277 meters,23
Apartamentos Municipales para Mayores 'San Francisco',Instalación accesible municipal,CALLE JERTE 3,37 - Plaza de San Francisco,"Plaza de San Francisco,",160 meters,24
Aravaca Innovation Lab,Instalación accesible municipal,CALLE CAROLI 1,315 - Caroli,"Calle de Caroli, 10,",21 meters,23
Archivo de Villa,Instalación accesible municipal,CALLE CONDE DUQUE 11,13 - Conde Duque,"Calle Conde Duque nº 22,",98 meters,23
Arganzuela. Unidad de Participación Ciudadana y Cooperación Público Social,Instalación accesible municipal,PASEO CHOPERA 10,165 - Entrada Matadero - Paseo de la Chopera,"Paseo de la Chopera frente 51 ,",135 meters,43
Asesoría Jurídica. Servicio de Bastanteo de Poderes,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA BAJA,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Auditorio Carmen Laforet (Ciudad Lineal),Instalación accesible municipal,CALLE JAZMIN 46,494 - Metro Pinar de Chamartín,"Arturo Soria, 332,",174 meters,23
Auditorio Joaquín Rosado (Moncloa-Aravaca),Instalación accesible municipal,CALLE SANTA POLA 22,318 - C. Deportivo Mpal. José María Cagigal,"Calle Santa Pola, 22 ,",50 meters,23
Auditorio Municipal Las Trece Rosas,Instalación accesible municipal,CALLE MONTE DE MONTJUICH 7 acceso por calle Sierra Gorda con vuelta a Sierra del Torcal,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",387 meters,27
Auditorio Municipal al aire libre Lola Camarena,Instalación accesible municipal,AVENIDA LA GAVIA 13,"452 - Las Suertes, 15","Avenida de Las Suertes, 15,",521 meters,23
Auditorio Municipal el Espinillo,Instalación accesible municipal,CALLE TERTULIA 5,400 - Metro Ciudad de los Ángeles,"Paseo de los Gigantes y Cabezudos, 4,",218 meters,24
Auditorio Parque de la Cuña Verde de Vicálvaro,Instalación accesible municipal,CALLE CASALARREINA 26,"463 - Casalarreina, 18","Calle Casalarreina, 18,",142 meters,24
Auditorio al Aire Libre Recinto Ferial Vicálvaro,Instalación accesible municipal,PASEO POLIDEPORTIVO 142,473 - Villablanca - Parque Forestal Vicálvaro,"Calle Villa Blanca, 85 ,",291 meters,27
Auditorio al aire libre Berlín,Instalación accesible municipal,CALLE SAN ERNESTO 10,292 - Centro Deportivo Municipal Pradillo,"Calle Pradillo, 33,",419 meters,23
Auditorio al aire libre. Carlos Jiménez de Parga,Instalación accesible municipal,AVENIDA RAFAEL ALBERTI 13 esquina calle Andaluces,435 - San Claudio,"Calle San Claudio, 150 ,",195 meters,24
Auditorio al aire libre. Parque Aluche,Instalación accesible municipal,CALLE ILLESCAS 149,333 - Illescas - Camarena,"Calle Illescas, 104 ,",356 meters,23
Auditorio al aire libre. Parque Amós Acero,Instalación accesible municipal,CALLE SIERRA DE ALQUIFE 20,418 - Puerto de Arlabán - San Diego,"Calle Puerto de Arlabán, 83 ,",331 meters,27
Auditorio al aire libre. Parque Cerro Almodóvar,Instalación accesible municipal,CALLE MARCELINO CASTILLO 29,330 - Duquesa de Parcent - Marcelino Castillo,"Calle Duquesa de Parcent, 14 ,",116 meters,23
Auditorio al aire libre. Parque Enrique Tierno Galván,Instalación accesible municipal,AVENIDA PLANETARIO 18,268 - Metro Arganzuela-Planetario,"Calle del Cobre, 6 ,",540 meters,23
Auditorio al aire libre. Parque Lineal del Manzanares,Instalación accesible municipal,CAMINO PERALES 1,392 - Metro Almendrales,"Avenida Córdoba, enfrente nº 21 ,",349 meters,23
Auditorio al aire libre. Parque de Olof Palme,Instalación accesible municipal,CALLE CERECINOS 1,"393 - Manuel Noya , 29","Calle Manuel Noya, 29 ,",122 meters,24
Auditorio al aire libre. Parque de Pradolongo,Instalación accesible municipal,AVENIDA POBLADOS 169,"396 - Gran Avenida, 27","Gran Avenida, 27,",308 meters,24
Auditorio al aire libre. Parque de la Cuña Verde,Instalación accesible municipal,CALLE JOSE BERGAMIN 1,461 - Plaza Corregidor Ldo. Antonio de Mena,"Corregidor licenciado Antonio de Mena, sn,",236 meters,24
Auditorio al aire libre. Parque del Calero,Instalación accesible municipal,CALLE JOSE DEL HIERRO 3,229 - Centro Deportivo Municipal Concepción,"Calle José del Hierro, 6 ,",217 meters,23
Auditorio al aire libre. Pavones,Instalación accesible municipal,CALLE HACIENDA DE PAVONES 209,221 - Metro Pavones,"Calle Hacienda de Pavones, 148 ,",294 meters,23
Auditorio al aire libre. Pilar García Peña (Parque Pinar del Rey),Instalación accesible municipal,CARRETERA CANILLAS 1,524 - Glorieta Luis Rosales,"Glorieta de Luís Rosales (esquina con López De Hoyos) ,",669 meters,23
Auditorio al aire libre. Plaza de Ermua,Instalación accesible municipal,CALLE GUETARIA 56,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",372 meters,23
Auditorio de la Plaza de Chamberí - Templete,Instalación accesible municipal,TEMPLETE PLAZA DE CHAMBERI ,124 - Metro Bilbao,"Calle Manuel Silvela nº 20,",369 meters,27
Auditorio y sala de exposiciones Paco de Lucía (Latina),Instalación accesible municipal,AVENIDA LAS AGUILAS 2,338 - Guareña - Luis Chamizo,"Calle Guareña, 22 ,",244 meters,18
Aula Municipal de Formación de Personas Adultas. Distrito Centro.,Instalación accesible municipal,CALLE CASINO 5,46 - Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",276 meters,27
Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,Instalación accesible municipal,CALLE SANTA FELICIDAD 39 EN CENTRO CULTURAL ELIPA,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",263 meters,24
Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,Instalación accesible municipal,CALLE SAN ROMAN DEL VALLE 8 EN CENTRO CULTURAL ANTONIO MACHADO,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",313 meters,23
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,Instalación accesible municipal,CALLE DOCTOR MARTIN AREVALO 2 CENTRO CULTURAL ÁGATA,413 - Doctor Martín Arévalo,"Calle Doctor Martín Arévalo enfrente del N°16 ,",139 meters,24
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,Instalación accesible municipal,PLAZA PINAZO 9,408 - Metro San Cristóbal,"Calle de Moncada, 102 ,",178 meters,23
Aula ambiental La Cabaña del Retiro,Instalación accesible municipal,PASEO FERNAN NUÑEZ 10,75 - Parque del Retiro - Plaza Mariano Cavia,"Avenida Menéndez pelayo (esquina con calle Poeta Esteban Villegas),",156 meters,27
Aula de estudio de Manoteras. Sala de estudio (Hortaleza),Instalación accesible municipal,CALLE CUEVAS DEL ALMANZORA 187,525 - Metro Manoteras,"Calle Bacares, 20 ,",507 meters,24
Banda Sinfónica Municipal de Madrid,Instalación accesible municipal,AVENIDA PRINCIPAL 9 Teatro Auditorio Casa de Campo,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",638 meters,24
Barajas. Unidad de Participación Ciudadana y Cooperación Público Social,Instalación accesible municipal,PLAZA MERCURIO 1,567 - Plaza Mayor de Barajas,"Plaza Mayor de Barajas, 24,",215 meters,24
Bibliometro,Instalación accesible municipal,CALLE CONDE DUQUE 11,13 - Conde Duque,"Calle Conde Duque nº 22,",113 meters,23
Bibliored Dolores Catarineu de Aravaca,Instalación accesible municipal,CALLE CAROLI 1,315 - Caroli,"Calle de Caroli, 10,",21 meters,23
Bibliored Galileo,Instalación accesible municipal,CALLE GALILEO 39,127 - Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",224 meters,27
Bibliored Sala Corín Tellado,Instalación accesible municipal,CALLE SANTA POLA 22,318 - C. Deportivo Mpal. José María Cagigal,"Calle Santa Pola, 22 ,",50 meters,23
Bibliored Sala León Felipe,Instalación accesible municipal,CALLE LEONOR GONGORA 19,415 - Diamante - Delmira Agustini,"Calle Diamante, 10 ,",372 meters,24
Bibliored Salamanca,Instalación accesible municipal,CALLE NUÑEZ DE BALBOA 40,87 - Ayala - Velázquez,"Calle Ayala nº 46,",155 meters,23
Biblioteca Digital memoriademadrid,Instalación accesible municipal,CALLE CONDE DUQUE 11,13 - Conde Duque,"Calle Conde Duque nº 22,",98 meters,23
Biblioteca Histórica Municipal,Instalación accesible municipal,CALLE CONDE DUQUE 9,13 - Conde Duque,"Calle Conde Duque nº 22,",17 meters,23
Biblioteca Musical Víctor Espinós,Instalación accesible municipal,CALLE CONDE DUQUE 9,13 - Conde Duque,"Calle Conde Duque nº 22,",17 meters,23
Biblioteca Pública Municipal Aluche (Latina),Instalación accesible municipal,CALLE CAMARENA 10,331 - Valmojado,"Calle Valmojado, 33 ,",164 meters,24
Biblioteca Pública Municipal Ana María Matute (Carabanchel),Instalación accesible municipal,CALLE ISAAC ALBENIZ 1,212 - Metro Marqués de Vadillo,"Glorieta Marqués de Vadillo, 9,",393 meters,27
Biblioteca Pública Municipal Benito Pérez Galdós (Centro),Instalación accesible municipal,CALLE CONDE DUQUE 9,13 - Conde Duque,"Calle Conde Duque nº 22,",17 meters,23
Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),Instalación accesible municipal,CALLE HERMANOS GARCIA NOBLEJAS 14,477 - Metro Ciudad Lineal,"Calle de los Misterios, 2 ,",322 meters,23
Biblioteca Pública Municipal David Gistau (Salamanca),Instalación accesible municipal,AVENIDA TOREROS 5,192 - Avda. de los Toreros - Fco. Silvela,"Avenida de los Toreros, 3 ,",65 meters,27
Biblioteca Pública Municipal Dámaso Alonso (Chamartín),Instalación accesible municipal,CALLE MANUEL FERRERO 1,209 - Plaza de Castilla - Fundación Canal,"Plaza de Castilla, 9 ,",522 meters,23
Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro),Instalación accesible municipal,PASEO FERNÁN NÚÑEZ 24,282 - Parque Retiro - Puerta Reina Mercedes,"Avenida Menéndez Pelayo enfrente del nº33 ,",240 meters,23
Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),Instalación accesible municipal,BULEVAR INDALECIO PRIETO 21,472 - Metro Valdebernardo,"Calle de los Pinillas, 19,",152 meters,27
Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),Instalación accesible municipal,CALLE MANTUANO 51,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",355 meters,23
Biblioteca Pública Municipal Gabriel García Márquez (Usera),Instalación accesible municipal,PLAZA PUEBLO 2 CENTRO CULTURAL ORCASUR,385 - Estación de tren Orcasitas,"Calle Campotejar , 25,",312 meters,23
Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),Instalación accesible municipal,CALLE MONTE AYA 12,440 - Metro Villa de Vallecas,"Paseo de Federico García Lorca, 2 ,",274 meters,18
Biblioteca Pública Municipal Gloria Fuertes (Barajas),Instalación accesible municipal,AVENIDA LOGROÑO 179,558 - Biblioteca Pública Mpal. Gloria Fuertes,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",85 meters,23
Biblioteca Pública Municipal Huerta de la Salud (Hortaleza),Instalación accesible municipal,CALLE MAR DE LAS ANTILLAS 10,531 - Metro Parque de Santa María,"Calle de Santa Virgilia, 6,",246 meters,23
Biblioteca Pública Municipal Iván de Vargas (Centro),Instalación accesible municipal,CALLE SAN JUSTO 5,35 - Plaza del Cordón,"Plaza del Cordón nº1,",54 meters,24
Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),Instalación accesible municipal,CALLE MARIA SEVILLA DIAGO 15,514 - María Sevilla Diago,"Calle Maria Sevilla Diago, 5,",80 meters,24
Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),Instalación accesible municipal,AVENIDA MONFORTE DE LEMOS 38,572 - Junta Mpal. Dtto. Fuencarral - El Pardo,"Avenida Monforte de Lemos, 123,",94 meters,24
Biblioteca Pública Municipal La Chata (Carabanchel),Instalación accesible municipal,CALLE GENERAL RICARDOS 252 Antiguo Mercado de Carabanchel,369 - Junta Municipal Distrito de Carabanchel,"Plaza De la Parroquia, 19 ,",451 meters,23
Biblioteca Pública Municipal La Elipa (Ciudad Lineal),Instalación accesible municipal,CALLE NUESTRA SEÑORA DEL VILLAR 6,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",404 meters,24
Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),Instalación accesible municipal,CALLE FRANCOS RODRIGUEZ 67,239 - Francos Rodríguez - José Calvo,"Calle de Francos Rodríguez, 62 ,",322 meters,23
Biblioteca Pública Municipal Mario Vargas Llosa (Centro),Instalación accesible municipal,CALLE BARCELO 4,54 - Metro Tribunal,"Calle Barceló nº 9,",75 meters,19
Biblioteca Pública Municipal María Lejárraga (Hortaleza),Instalación accesible municipal,CALLE PRINCESA DE EBOLI 29,"550 - Príncipe Carlos, 54","Calle del Príncipe Carlos, 54 ,",560 meters,23
Biblioteca Pública Municipal María Zambrano (Tetuán),Instalación accesible municipal,PLAZA DONOSO 5 En el Centro Cultural Eduardo Úrculo,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",110 meters,23
Biblioteca Pública Municipal Miguel Delibes (Moratalaz),Instalación accesible municipal,CALLE ARROYO BELINCOSO 11 JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA,458 - Metro Vinateros,"Calle del Arroyo Belincoso, 26,",54 meters,24
Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),Instalación accesible municipal,CALLE ASCAO 4,215 - Gutierre de Cetina - Ascao,"Calle Gutierre de Cetina, 77 ,",101 meters,23
Biblioteca Pública Municipal Portazgo (Puente de Vallecas),Instalación accesible municipal,CALLE CANTALAPIEDRA 11,428 - Estadio de Vallecas,"Avenida La Albufera, 136 ,",266 meters,24
Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),Instalación accesible municipal,AVENIDA GLORIETAS 19 EN C. CULTURAL POZO TIO RAIMUNDO,419 - Estación de tren de El Pozo,"Calle Puerto de Balbarán, 10,",623 meters,27
Biblioteca Pública Municipal Pío Baroja (Arganzuela),Instalación accesible municipal,CALLE ARGANDA 12,"275 - Juan Antonio Vallejo-Nájera Botas, 25","Paseo Juan Antonio Vallejo-Nájera Botas, 25 ,",307 meters,23
Biblioteca Pública Municipal San Blas (San Blas-Canillejas),Instalación accesible municipal,CALLE SAN ROMAN DEL VALLE 8 CENTRO CULTURAL ANTONIO MACHADO,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",313 meters,23
Biblioteca Pública Municipal San Fermín (Usera),Instalación accesible municipal,AVENIDA SAN FERMIN 10,383 - Metro San Fermín-Orcasur,"Avenida de la Perla, 35,",218 meters,23
Biblioteca Pública Municipal Vallecas (Puente de Vallecas),Instalación accesible municipal,CALLE PUERTO DEL MONASTERIO 1,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",180 meters,24
Biblioteca Pública Municipal Vicálvaro,Instalación accesible municipal,CALLE VILLARDONDIEGO 36 CENTRO CULTURAL EL MADROÑO,467 - Univ. Rey Juan Carlos - Facultad  CJS,"467 -  Calle Villardondiego  nº32,",140 meters,24
Biblioteca Pública Municipal Ángel González (Latina),Instalación accesible municipal,CALLE GRANJA DE TORREHERMOSA 1,340 - Illescas - Seseña,"Calle Illescas, 1 ,",88 meters,27
Biblioteca Técnica,Instalación accesible municipal,CALLE CONDE DUQUE 9,14 - Ventura Rodríguez,"Ventura Rodríguez, 3,",190 meters,27
